,name,type,description,prerequesite,skill_tree_id
39,Shadow Strike I, Passive,Damage dealt to enemies from behind increases by 3% when you have a Axe equipped as your main weapon.,Could Crush,1
40,Shadow Strike II, Passive,Damage dealt to enemies from behind increases by 2% when you have a Axe equipped as your main weapon.,"Shadow Strike I
Cleared Mission ""The Sun Sets On Mount Tenno"".",1
41,Shadow Strike III, Passive,Damage dealt to enemies from behind increases by 1% when you have a Axe equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""???""",1
0,Sign of the Cross,Active,"Quick-draw attack. Can only be used when your sword is sheathed.
Command: Hold R1 + Circle button.",Base,2
1,Sign of the Cross II,Active,Greatly reduces time needed to gather energy for a Sign of the Cross attack.,Sign of the Cross,2
2,Windstorm,Active,A spinning attack that slices all around you (High Stance Only),Base,2
3,Windstorm II,Active,Increases the strength of the wind generated by Windstorm. (High Stance Only),Windstorm,2
4,Demon Thrust,Active,"A combination move incorporating defense and attack. Thrusts a sword while simultaneously guarding. (Mid Stance Only).
Command: L1 + Square button (Square While Guarding)",Base,2
5,Mind's Eye,Active,"You now clearly see, and evade. all incoming attacks during the recovery period followin a dodge. (Low Stance Only)",Base,2
6,Mind's Eye II,Active,"When Mind's Eye is successful, increases attack power. (low Stance Only)",Mind's Eye,2
7,God of Wind,Active,"Follows up a Quick Attack with a roundhouse kick. (Mid/Low Stance Only)
Command: Triangle at end of combo. ","Mind's Eye
Demon Thrust",2
8,God of Wind II,Active,Allows you to follow-up God of Wind with a quick slash attack by pressing Triangle button again. (Mid/low Stance Only),God of Wind,2
9,God of Wind III,Active,"Correctly timing an additional press of Triangle button after God of Wind, slows you to perform a quick double slash attack. 
(Mid/low Stance Only)","God of Wind II
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
10,Random Slice,Active,Rushes forward while swinging two swords. (Mid Stance Only),Demon Thrust,2
11,Water Sword,Active,"Slices an enemy multiple times. (Hold down the button to alter the attack.) (High Stance Only).
Command: L1 + Triangle (Triangle While Guarding)",Windstorm,2
12,Water Sword II,Active,Increases the slicing speed of the Water Sword technique. (High Stance Only),"Water Sword
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
13,Cherry Blossom,Active,"Follows up a Quick Attack with a jumping slice. (High Stance Only).
Command: Triangle at end of combo",Windstorm,2
14,Heavenly Flow,Active,"Parries an enemy's attack, countering with a stabbing blow. (Mid Stance Only)
Command: L1 +Triangle Button (Triangle While guarding)",Relentless I,2
15,Earthly Flow,Active,"Parries an enemy's attack. countering with a cutting strike. (Mid Stance Only).
Command: L1 + Square (Square While guarding)",Heavenly Flow,2
16,The Shrike,Active,"Parries the enemy, stopping the enemy in their tracks, then folows !trough with two attacks. (Mid Stance Oily)","Heavenly Flow
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
17,Moon Shadow,Active,"Maneuvers behind an enemy after they deflect your attack, then slashes them with an extra. (Mid/low Stance Only).
Command: Press triangle button when an attack is deflected","God of Wind
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
18,Raijin,Active,"moves quickly to the side while slashing. Can be charged to increase the number of strikes.
Command: Hold Triangle.","Sign of the Cross
Cleared Mission ""???""",2
19,Mortal Flow,Active,"Rushes forward and performs a hard thrust, following up with a strong slash if the thrust hits.
Command: L1 + Triangle button (triangle while guarding)",Mind's Eye,2
20,Mortal Flow II,Active,"Adds a gust of wind to the follow-up slash of Mortal Flow, increasing its strength.","Mortal Flow
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
21,Relentless I,Passive,Maximum Ki increases by +30 when you have Dual Swords equipped as your main weapon.,Sign of the Cross II,2
22,Relentless II,Passive,Maximum Ki increases by +20 when you have Dual Swords equipped as your main weapon.,"Relentless I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
23,Relentless III,Passive,Maximum Ki increases by +10 when you have Dual Swords equipped as your main weapon.,"Relentless II
Cleared Mission ""???""",2
24,Defense Arts I,Passive,Increases Ki recover speed while guarding by 30% when you have a dual swords equipped as your main weapon.,Demon Thrust,2
25,Defense Arts II,Passive,Increases Ki recover speed while guarding by 20% when you have a dual swords equipped as your main weapon.,"Defense Arts I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
26,Defense Arts III,Passive,Increases Ki recover speed while guarding by 10% when you have a dual swords equipped as your main weapon.,"Defense Arts II
Cleared Mission ""???""",2
27,Tachi Arts I,Passive,Increases melee damage against enemies with full health by 5% when you have a dual swords equipped as you main weapon.,Sign of the Cross,2
28,Tachi Arts II,Passive,Increases melee damage against enemies with full health by 4% when you have a dual swords equipped as you main weapon.,"Tachi Arts I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
29,Tachi Arts III,Passive,Increases melee damage against enemies with full health by 3% when you have a dual swords equipped as you main weapon.,"Tachi Arts II
Cleared Mission ""???""",2
30,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have a Dual Swords equipped as your main weapon.","Sign of the Cross
Mind's Eye",2
31,Full Moon Kata II, Passive,"While in full health, your melee damage increases by 2% when you have a Dual Swords equipped as your main weapon.","Full Moon Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
32,Full Moon Kata III, Passive,"While in full health, your melee damage increases by 1% when you have a Dual Swords equipped as your main weapon.","Full Moon Kata II
Cleared Mission ""???""",2
33,Shadow Strike I, Passive,Damage dealt to enemies from behind increases by 3% when you have a Dual Swords equipped as your main weapon.,Mind's Eye II,2
34,Shadow Strike II, Passive,Damage dealt to enemies from behind increases by 2% when you have a Dual Swords equipped as your main weapon.,"Shadow Strike I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
35,Shadow Strike III, Passive,Damage dealt to enemies from behind increases by 1% when you have a Dual Swords equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""???""",2
36,Armor Piercer I, Passive,Increases Final Blow damage by 4% when you have a Dual Swords equipped as your main weapon,Windstorm II,2
37,Armor Piercer II, Passive,Increases Final Blow damage by 3% when you have a Dual Swords equipped as your main weapon.,"Armor Piercer I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
38,Armor Piercer III, Passive,Increases Final Blow damage by 2% when you have a Dual Swords equipped as your main weapon.,"Armor Piercer II
Cleared Mission ""???""",2
39,Passage to the Afterlife I, Passive,Increases grapple damage by 4% when you base a Dual Swords equipped as your main weapon.,"Demon Thrust
Windstorm",2
40,Passage to the Afterlife II, Passive,Increases grapple damage by 3% when you have a Dual Swords equipped as your main weapon.,"Passage to the Afterlife I
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
41,Passage to the Afterlife III, Passive,Increases grapple damage by 2% when you have a Dual Swords equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ""???""",2
42,Piercing Wheel,Active,"Repel Incoming attack as you stab your enemies over your shouder. (Mid Stance Only).
Command: L1 + Square Button (Square While Guarding)","Random Slice
Cleared Mission ""The Sun Sets On Mount Tenno"".",2
43,Dual Dragon,Active,"Slash at enemy before lauching yourself into the air to bring down a mighty blow on your opponent.
(Low Stance Only).
Command: Triangle button at end of combo.",Mind's Eye,2
0,Dual Hurl,Active,"Perform a charged throw with your hatchet. If you charge it to the maximum, you will throw both of your hatchets at the same time. (Mid stance only).
Command: Hold Triangle",Base,3
1,Mountain Climber II,Active,Press Square button after using Mountain Climber to strike downwards at your enemy as you land. (Low Stance Only).,"Mountain Climber

Cleared Mission ""

The Sun Sets On Mount Tenno"".",3
2,Mountain Climber,Active,"Leaps over an enemy to get behin them. (Low Stance Only).
Command: L3 UP + X button at end of combo.","Chain Hurl II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
3,Advancing Storm,Active,"Run forward, launching into a somersault and flinging, your hatches at the enemy.
Command: Hold Square while running",Boulder Breaker,3
4,Tile Shaker,Active,"Parries an enemy attack, neutralizing it. (Mid Stance Only).",Death from Above,3
5,Biting Hail,Active,"Evade an attack while flinging your hatches at you foe. (Low Stance Only).
Command: Triangle button while dodging.",Eagle's Shadow,3
6,Dual Hurl: Light,Active,"Decrease the charge time when performing Dual Hurl. (Mid stance only).
Command: Hold triangle button.",Dual Hurl,3
7,Dual Hurl: Shadow,Active,"Increases the distance of the throw when you charge your attack further. (Mid stance Only).
Command: Hold triangle button.",Dual Hurl,3
8,Relentless I,Passive,Maximun Ki increasses by +30 when you have hatchets equipped as your main weapon.,Dual Hurl: Shadow,3
9,Spiked Wall,Active,"Unleash a powerful slash with both hatchets from your guard position, repelling the enemy's attack. Heavily staggers the enemy if succesful. (Mid Stance Only)",Mountain Hawk,3
10,Relentless II,Passive,Maximun Ki increasses by +20 when you have hatchets equipped as your main weapon.,"Relentless I Mountain Hawk
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
11,Relentless III,Passive,Maximun Ki increasses by +10 when you have hatchets equipped as your main weapon.,Relentless II,3
12,Demon Undercut,Active,Throw the hatchet in your right hand at a targeted enemy's feet and cause a large amount of Ki damage (Mid stance only),"Piercing Hurl
Dual Hurl",3
13,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when you have hatchets equipped as your main weapon.",Greased Lightning,3
14,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when you have hatchets equipped as your main weapon.",Cornered Boar I,3
15,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have hatchets equipped as your main weapon.","Cornered Boar II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
16,Spinning Crab,Active,"Perform a low spinning attack with both hatchets, aimed at the enemy's feet. If the enemy is humanoid and their Ki is reduced to zero, they will fall over. (Low stance only).
Triangle button at end of combo.",Chain Hurl,3
17,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have hatchets equipped as your main weapon.,Spinning Crab,3
18,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have hatchets equipped as your main weapon.,Shadow Strike I,3
19,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have hatchets equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
20,Eagle's Shadow,Active,"Throws hatchets in a wide arc. Will reach the targeted enemy if locked on. (Low stance only).
Command: L1 + Triangle button (triangle while guarding).","Chain Hurl
Cleared Mission ""The Last Sun On Mount Tenno"".",3
21,Chain Hurl,Active,"Charge your attack and throw both of your hatchets, one after another (Low stance only).
Command: Hold Triangle button.",Base,3
22,Chain Hurl II,Active,Prees triangle repeatdly to chain your throws. (Low stance only),Chain Hurl I,3
23,Wolf's Rage,Active,Instantly recover from being repelled by an enemy's guard and deal a guard-breaking blow with your hatchet.,"Dual Hurl
Chain Hurl",3
24,Death From Above,Active,"Jump into the air and strike the gorund with your hatchets. (Mid stance only).
Command: Hold triangle button.",Dual Hurl,3
25,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will increase by 15% when you have hatchets equipped as your main weapon.","Piercing Hurl
Greased Lightning",3
26,Indomitable Spirit II,Passive,"When your health drops to 30% or lower, your Ki recovery speed will increase by 10% when you have hatchets equipped as your main weapon.",Indomitable Spirit I,3
27,Indomitable Spirit III,Passive,"When your health drops to 30% or lower, your Ki recovery speed will increase by 5% when you have hatchets equipped as your main weapon.","Indomitable Spirit II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
28,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you have hatchets equipped as your main weapon.,"Chain Hurl
Greased Lightning",3
29,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have hatchets equipped as your main weapon.,Passage to the Afterlife I,3
30,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have hatchets equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
31,Lethal Barrage,Active,"At the end of a combo, change to a backhanded grip and repeatedly strike the enemy. Repeatedly press triangle to increase the hit count. (High stance only).
Command: triangle button at end of combo.",Piercing Hurl,3
32,Lethal Barrage II,Active,Follow up a lethal Barrage with your a powerful attack by presing square. (High stance only).,Lethal Barrage,3
33,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you have hatchets equipped as your main weapon.",Greased Lightning,3
34,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you have hatchets equipped as your main weapon.",Cornered Tiger I,3
35,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 5% when you have hatchets equipped as your main weapon.","Cornered Tiger II
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
36,Piercing Hurl,Active,"Perform a charged throw with your hatchet. If you charge it to the maximum, the weapon will tear through the enemy on impact. (High stance only).
Command: Hold triangle button.",Base,3
37,Piercing Hurl : Light,Active,"Decreases the charge time when performing Piercirng Hurl. (High stance only).
Command: Hold triangle button.",Piercing Hurl,3
38,Piercing Hurl: Shadow,Active,"Increases the distance of the throw when you charge your atack further. (High stance only).
Command: Hold triangle button.",Piercing Hurl,3
39,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have hatchets equipped as your main weapon.",Piercing Hurl: Shadow,3
40,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have hatchets equipped as your main weapon.","Full Moon Kata I
Cleared Mission ""The Sun Sets On Mount Tenne"".",3
41,Full Moon Kata III,Passive,"While in full health, your melee damage increases by 1% when you have hatchets equipped as your main weapon.","Full Moon Kata II
Cleared Mission ""???""",3
42,Heaven's Clash,Passive,"Build up power before throwing your hatches in an arc. (Mid Stance Only).
Command: L1 + Square (Square while guarding).",Dual Hurl: Light,3
43,Bell Ringer,Active,"Thrust your hatchets directly in front of you, forcing your enemies to retreat. (Mid Stance Only).
Command: triangle button at end of combo.","Death for Above
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
44,Mountain Hawk,Active,"Follow up a Quick Attack by fringing your hatchets at the enemy. (Mid Stance Orly).
Command: Hold triangle button.","Dual Hurl: Light
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
45,Dragonfly,Active,"Spin your hatchets at high speed as they hang in mid-air, inflicting damage on nearby foe . (High/Mid Stance Only).
Command: L1 + Square button (Square while guardian). ","Piercing Hurl: Light
Cleared Mission ""The Sun Sets On Mount Tenno"".",3
46,Dragonfly II,Active,Allows you to charge up the Dragonfly skill so that your spiming hatchets will hang in th for longer. (High/Mid Stance Only),Dragonfly,3
47,Greaed Lightning,Active,"Only usable when hatchets are sheathed. Charge up your power before unleashing two mighty strikes upon the enemy.
Command: Hold R1 + Square Button.",Base,3
48,Boulder Breaker,Active,"Only usable when hatchets are sheathed. Charge up your power before throwing your hatchets forward.
Command: Hold R1 + Square button.",Greaed Lightning,3
49,All Ablaze,Active,"Only usable when hatchets are sheathed. Increases your attack power and movement weed in exchange for sacrificing some defense.
Command: Hold R1 + Square","Cornered Tiger II
Cleared Mission ""???"".",3
50,Arise,Active,"Press triangle button when you are downed to attack while springing back up.
Command: triagle while downed.","Cornered Boar II
Cleared Mission ""???"".",3
0,Black Vines, Active,"Throws the kusarigama's metal weight at an enemy and draws them close, or propels you toward them if they are immovable. (Mid/Low Stance Ony).
Command: Hold Square button. ",Waterfall,4
1,Serpent Strike,Active,"Throws the kusarigama's metal blade at an enemy and draws them close, or propels you toward them if they are immovable. (High Stance Ony)",Base,4
2,Chain Pull,Active ,"Throws the kusarigama's metal weight. If the attack reduces the enemy's Ki to zero, it will draw them close and slash them with the sickle. (Low Stance Only).
Command: L1 + Square button (Square While guarding)",Retreating Strike,4
3,Reaper,Active ,"Slashes the enemy with the kusarigama's sickle. (Hold down the button to alter the attack.)
Command: L1 + triangle button (triangle While guarding) ",Base,4
4,Whirlwind,Active ,"Swing the kusarigama's metal weight in a wide circle. (Mid/Low Stance Only)
Command: L1 + Square button (Square While guarding) ",Black Vines,4
5,Tangle Strike,Active ,"Follows up a Quick Attack with a strike that uses the kusarigama's metal weight to slam the 
opponent. (Mid/Low Stance Only)",Retreating Strike,4
6,Tangle Strike II,Active ,"After performing Tangle Strike, press triangle to perform a slicing attack. (Mid/Low Stance Only) ",Tangle Strike,4
7,Foot Sweep,Active ,Knocks an enemy down by sweeping their legs with the kusarigama's metal weight.(High Stance Only),Serpent Strike,4
8,Waterfall,Active ,"Parries an enemy attack, throwing them backwards. (Mid Stance Only).
Command: L1 + triangle button (triangle While guarding)

",Base,4
9,Masterful Guard,Active ,"Guard just before an incoming hit to deflect the attack and knock the attacker off balance. (Mid Stance Only).
Command: L1 the moment before an enemy's attack conn",Waterfall,4
10,Serpent Bite,Active ,Parry the enemy's attack before performing a follow-up attack with the kusarigama's scythe and metal weight. (Mid Stance Only),"Whirlwind
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
11,Retreating Strike,Active ,"Follows up a Quick Attack with a backstep while also pelting the enemy with the kusarigama's metal weight. 
(Low Stance Only)
Command: Triangle button at en of combo.  ",Base,4
12,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have a Kusarigama equipped as your main weapon.,Waterfall,4
13,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have a Kusarigama equipped as your main weapon.,"Shadow Strike I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
14,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have a Kusarigama equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""???""",4
15,Autumn Dusk,Active,"Decreases the amount of Ki consumed when dodging. but in turn, also decreases your defense. Can only be used when your swills sheathed. 
Command: Hold R1 + Circle Button","Summer Twilight
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
16,Summer Twilight,Active,"Increases your attack strength, but also the amount of Ki damage you receive. Can only be used when your weapon is holstered.
Command: Hold R1 + Circle button",Reaper,4
17,Winter Dawn,Active,"Increases the amount of Ki damage you inflict, but also the the amount of Ki used when attacking. Can oily be used whensour is sheathed. 
Command: Hold R1 + Circle Button",Autumn Dusk,4
18,Crimson Flurry,Active,"Swings the kusarigama around, striking the enemy repeatedly. (High Stance Only).
Command: L1 + triangle button (triangle While guarding) ",Serpent Strike,4
19,Crimson Flurry II,Active,Press triangle button after Crimson Ray to slam down the kusarigama. (High Stance Only).,Crimson Flurry,4
20,Whirlwind Kick,Active,"Kicks the enemy.
Command: L1 + Square button (Square While guarding)",Serpent Strike,4
21,Leaping Strike,Active,"Slashes upward with the kusarigama while jumping.
Command: L1 + triangle button (triangle While guarding)",Whirlwind Kick,4
22,Blade Spin,Active,"Spins forward with the kusarigama and slices the enemy.
Command: L1 + Square button (square While guarding)","Summer Twilight
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
23,Renegade Dragon,Active,"Extends both the sickle blade and weight before swinging them around and unleashing a strike to finish. 
Command: L1 + triangle button (triangle While guarding)","Cleared Mission ""???""
Whirlwind",4
24,Bird of Prey,Active,"Repel incoming attacks while leaping forward and slicing at the enemy. (High Stance Only).
Command: L1 + triangle button (triangle While guarding)","Cleared Mission ""The Sun Sets On Mount Tenno"".
Crimson Flurry",4
25,Armor Piercer I,Passive,Increases damage of Final Blow by 8%,Foot Sweep,4
26,Armor Piercer II,Passive,Increases damage of Final Blow by 4%,"Armor Piercer I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
27,Armor Piercer III,Passive,Increases damage of Final Blow by 4%,"Armor Piercer II
Cleared Mission ""???""",4
28,Relentless I,Passive,Maximum Ki increases by +30 when you have Kusarigama equipped as your main weapon.,"Reaper
Retreating Strike",4
29,Relentless II,Passive,Maximum Ki increases by +20 when you have Kusarigama equipped as your main weapon.,"Relentless I
Whirlwind Kick
Chain Pull
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
30,Relentless III,Passive,Maximum Ki increases by +10 when you have Kusarigama equipped as your main weapon.,"Relentless II
Cleared Mission ""???""",4
31,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 15% when you have Kusarigama equipped as your main weapon.",Reaper,4
32,Indomitable Spirit II,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 10% when you have Kusarigama equipped as your main weapon.","Indomitable Spirit I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
33,Indomitable Spirit III,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 5% when you have Kusarigama equipped as your main weapon.","Indomitable Spirit III
Cleared Mission ""???""",4
34,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you have Kusarigama equipped as your main weapon.",Serpent Strike,4
35,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you have Kusarigama equipped as your main weapon.","Cornered Tiger I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
36,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 5% when you have Kusarigama equipped as your main weapon.","Cornered Tiger II
Cleared Mission ""???""",4
37,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when, you have Kusarigama equipped as your main wearen.",Masterful Guard,4
38,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when you have Kusarigama equipped as your main weapon","Cornered Boar I
Cleared Mission ""The Sun Sets On Mount Tenno"".

 ",4
39,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have Kusarigama equipped as your main weapon.","Cornered Boar II
Cleared Mission ""???""",4
40,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have a Kusarigama equipped as your main weapon.",Retreating Strike,4
41,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have a Kusarigama equipped as your main weapon.","Full Moon Kata I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
42,Full Moon Kata III,Passive,"While in full health, your melee damage increases by 1% when you have a Kusarigama equipped as your main weapon.","Full Moon Kata II
Cleared Mission ""???""",4
43,Passage to the Afterlife I,Passive ,Increases grapple damage by 4% when you base a Kusarigama equipped as your main weapon.,"Reaper
Serpent Bite",4
44,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a Kusarigama equipped as your main weapon.,"Passage to the Afterlife I
Cleared Mission ""The Sun Sets On Mount Tenno"".",4
45,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have a Kusarigama equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ""???""",4
